category,reviews,size,installs,price,suitable_for,last_update,latest_ver,app_id,popularity
SHOPPING,2788460,Varies with device,"100,000,000+",0,Teen,"July 30, 2018",Varies with device,9421,High
TOOLS,1,1.2M,100+,0,Everyone,"June 20, 2018",5.0,2668,High
FAMILY,769,13M,"100,000+",0,Everyone,"April 4, 2018",1.06,1837,High
FAMILY,89947,22M,"5,000,000+",0,Everyone 10+,"February 9, 2018",1.8.2,5003,High
SPORTS,232423,35M,"5,000,000+",0,Everyone,"June 11, 2018",4.2.2,4878,High
FAMILY,131,22M,"5,000+",0,Everyone,"June 24, 2018",1.0,5949,Low
GAME,466,28M,"10,000+",$0.99,Everyone,"March 28, 2017",1.00.02,4844,Low
SPORTS,1904,9.9M,"100,000+",0,Everyone,"June 11, 2018",2.0.22,6259,High
COMMUNICATION,17712922,40M,"500,000,000+",0,Teen,"August 2, 2018",12.8.5.1121,8673,High
GAME,166251,19M,"5,000,000+",0,Everyone,"December 11, 2017",2.16.0,6914,High
VIDEO_PLAYERS,165723,1.6M,"10,000,000+",0,Everyone,"August 4, 2018",7.5.9,661,Low
NEWS_AND_MAGAZINES,355921,17M,"10,000,000+",0,Teen,"August 1, 2018",9.1.4,1369,High
LIFESTYLE,777,14M,"50,000+",0,Everyone,"May 4, 2018",3.0.20,4726,Low
SHOPPING,3878,8.8M,"100,000+",0,Everyone,"May 8, 2018",5.6.8,7293,High
GAME,162530,97M,"10,000,000+",0,Mature 17+,"July 2, 2018",1.0.0.0,7655,High
FAMILY,262,29M,"50,000+",0,Everyone,"November 1, 2017",1.1,1035,High
LIFESTYLE,12452,Varies with device,"500,000+",0,Everyone,"January 26, 2017",Varies with device,6399,High
SHOPPING,25717,Varies with device,"1,000,000+",0,Teen,"July 31, 2018",Varies with device,6795,High
SPORTS,3,12M,"1,000+",0,Everyone,"February 23, 2018",5.5.4,3630,Low
COMICS,4895,35M,"100,000+",0,Everyone,"August 2, 2018",2.4.25,5691,High
FAMILY,10088,Varies with device,"1,000,000+",0,Everyone,"March 8, 2018",Varies with device,5642,High
FINANCE,335738,Varies with device,"10,000,000+",0,Everyone,"May 3, 2018",Varies with device,1900,Low
FAMILY,705805,35M,"50,000,000+",0,Everyone,"April 30, 2018",2.3.1.8,8512,High
BUSINESS,8,20M,100+,0,Everyone,"January 23, 2017",1.0.5,3566,High
FAMILY,13,2.5M,"1,000+",0,Teen,"June 19, 2015",3.0,1028,Low
GAME,2032,50M,"50,000+",0,Teen,"June 5, 2018",0.1.27,4638,High
FAMILY,17543,19M,"5,000,000+",0,Everyone,"January 25, 2018",3.0.1,5211,High
